subj,sex.s,age.s,ethn,wc,wps,qmarks,unique,dic,sixltr,pronou,i,we,self,you,other,negate,assent,articl,preps,number,affect,posemo,posfee,optim,negemo,anx,anger,sad,cogmec,cause,insigh,discre,inhib,tentat,certai,senses,see,hear,feel,socialw,comm,othref,friend,family,humans,time,past,presen,future,space,up,down,incl,excl,motion,occup,school,job,achiev,leisur,home,sports,telev,music,money,metaph,relig,death,physca,body,sexual,eating,sleep,groom,swear,nonfl,filler,ext.s,agr.s,con.s,ems.s,ope.s,zext.j,zagr.j,zcon.j,zems.j,zope.j
28,1,20,1,753,53.79,7.14,39.04,79.15,12.35,14.08,4.12,.4,4.52,3.45,1.99,2.12,1.06,4.91,9.96,2.26,1.73,1.33,0,.27,.4,.13,.13,0,7.44,1.59,2.39,1.86,.27,3.72,1.33,1.73,.4,1.06,.27,8.1,1.33,6.11,0,0,.4,2.79,2.66,13.28,1.46,2.92,.93,.13,5.58,3.59,1.2,.53,0,.4,.13,.93,.27,0,.66,.13,.93,0,0,0,.53,.53,0,0,0,0,0,.53,3.45,1.25,3.55555555555556,3.11111111111111,3.25,3.5,-.452205182483014,1.52850756043046,1.49162344377289,1.08571732995682,2.46025240686354
29,1,19,4,1189,6.95,14.04,32.72,81.83,9.42,17.41,7.06,.5,7.57,3.87,3.11,2.19,1.18,4.79,8.41,1.93,3.7,2.27,.34,.67,1.43,.34,.25,.42,8.07,1.93,2.86,1.85,.17,2.78,1.09,2.69,1.01,1.26,.25,10.18,1.6,7.49,.08,.42,.67,4.37,4.54,14.89,.93,2.35,.84,.08,4.04,5.3,1.51,2.44,1.51,.25,.5,1.85,.84,0,.17,.84,0,.25,.25,0,.5,.17,.17,.17,0,0,.17,1.01,2.27,3.75,4.77777777777778,3.66666666666667,3.75,4,-.335929965123099,-.264855315227694,1.04190740096556,.14207406401248,.200119016191726
30,1,19,4,288,8,22.22,47.92,75,12.85,14.58,2.08,0,2.08,9.03,.35,1.39,1.04,5.21,6.6,2.08,1.04,1.04,0,.35,0,0,0,0,10.76,2.78,1.39,2.08,0,2.78,.69,2.08,.35,1.74,0,12.5,1.39,9.72,0,0,.69,4.17,3.82,13.89,.35,1.74,.69,0,5.21,3.47,1.04,2.08,1.04,.69,.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.43,1.04,3.625,3.88888888888889,4.55555555555556,4.25,4.5,-2.62539564959908,-.135553641276035,1.06875671541362,-.460985943431297,-.475380249026059
31,1,19,1,942,17.77,52.83,37.69,84.61,9.55,15.71,6.48,.85,7.32,3.72,2.44,3.08,2.55,4.35,8.81,1.7,6.05,2.44,.53,.11,3.5,.21,2.55,.11,8.07,.85,1.8,2.65,.85,2.02,1.06,2.97,.64,1.38,.42,10.51,1.8,7.32,.32,0,.96,4.46,3.72,14.12,1.17,2.12,1.38,.11,3.5,3.82,1.7,1.17,.42,.21,.53,1.17,.11,.32,0,.74,.11,.53,.32,.21,2.76,.85,1.17,.42,.53,0,2.23,1.06,4.03,1.625,2.77777777777778,4.22222222222222,3.5,4.4,1.30641549442574,-.704331027855629,-.0340336565916458,.647022095377192,.522219451270289
41,1,18,4,1256,5.44,16.02,30.65,82.96,8.36,17.91,6.53,1.19,7.72,3.82,3.66,2.87,1.35,3.42,10.19,1.91,3.58,2.63,.56,.4,.96,.24,.32,0,6.61,1.67,1.91,1.19,.16,2.23,1.04,2.71,.8,1.59,.24,13.85,1.99,8.76,.08,.32,2.47,5.02,4.7,16.64,.64,2.63,1.83,.24,3.98,2.87,3.03,1.51,.56,.4,.72,.8,.56,0,0,.24,.56,.48,.48,0,.96,.32,.08,.16,.56,0,.32,.48,2.87,4.75,4.44444444444444,3.66666666666667,4.25,4.1,.313085893982786,1.42029713575479,.460809433326791,.617219795129551,.608058947544785
45,1,18,4,458,114.5,0,49.34,81.88,8.95,15.28,4.59,1.31,5.9,3.93,2.84,3.28,3.93,5.46,9.17,1.75,4.15,2.18,0,.44,1.97,.22,1.09,0,6.33,1.09,.66,1.97,.44,1.31,1.09,2.62,1.09,1.31,.22,10.7,1.31,8.08,.44,0,.66,3.49,5.02,14.19,.22,3.49,1.31,.22,3.28,4.8,1.97,1.31,.44,.87,.66,1.53,.66,0,.87,0,1.09,.66,.44,.22,2.18,1.09,.66,0,.44,.22,1.09,.87,2.18,3.75,3.11111111111111,2.55555555555556,3.5,3.3,-1.25734954434376,-.611196809211754,-1.23640801055061,-.0382197384746136,-1.31411768477332
47,1,18,4,472,3.69,13.28,45.97,81.57,5.72,16.74,6.36,1.48,7.84,2.97,2.33,2.54,2.54,5.51,6.36,2.33,4.87,2.97,.42,0,1.91,.85,.85,.21,8.47,.64,2.33,2.54,.64,1.27,1.27,3.39,1.69,1.27,.42,11.44,1.69,6.78,.21,0,2.54,4.45,4.66,14.41,.64,3.6,1.06,.42,4.45,3.81,1.91,1.91,.85,.21,.85,.64,0,.42,.21,0,.64,.21,.21,0,.64,.64,0,.21,0,0,.21,.64,1.27,2.625,3.33333333333333,3.11111111111111,3.125,2.9,-1.19302070234571,-.224795217615725,-1.15875630459252,.777761462588343,-.791207620973107
50,1,18,4,1186,4.78,22.18,33.64,81.96,7.5,17.54,6.66,1.1,7.76,3.88,2.7,4.13,2.19,3.12,8.52,1.18,4.81,2.53,.51,.59,2.28,.17,1.69,.17,7.84,1.01,2.53,2.11,.25,2.78,.93,2.28,1.35,.76,.08,9.78,.76,7.67,.08,0,.93,3.71,3.96,18.97,.84,3.79,2.02,.17,3.88,5.31,2.02,1.94,.67,.76,.84,1.43,.42,.84,.08,.08,.84,.84,.59,.25,1.18,.34,.08,.34,.42,0,1.6,.17,.67,4.125,3,2.33333333333333,3.625,4.3,.26515944582257,-.864926645754971,-.980241931059403,.359018139096122,1.21447176595188
52,1,18,1,1436,6.84,18.57,30.08,81.82,8.22,16.09,5.85,1.39,7.24,2.99,3.62,2.72,1.32,5.08,8.98,1.67,6.06,2.3,.63,.49,3.76,.07,3.13,.07,4.11,.7,.84,1.53,.35,1.53,1.04,2.72,.84,1.53,.07,12.33,1.74,8.08,.28,.77,1.04,3.76,5.01,13.44,.35,3.69,1.46,.7,3.83,4.25,2.23,1.04,.35,.28,.49,1.67,.56,.42,.42,.35,.7,.21,.14,.07,3.97,.49,2.09,1.32,.21,.14,3.13,.7,2.23,4.125,4.33333333333333,3.55555555555556,4.625,3.4,1.04701750691276,-3.37018948711305,-2.14960944521899,.801023865128981,-1.4309804912622
57,1,19,2,1970,7.76,10.24,27.92,78.48,8.38,17.41,5.23,2.03,7.26,5.08,2.54,2.74,1.62,4.11,9.24,1.57,4.26,2.54,.71,.51,1.73,.2,1.17,.05,7.36,1.12,1.93,2.18,.3,2.64,.96,1.78,.61,.71,.25,11.68,1.17,9.8,.15,0,.25,2.74,4.92,15.53,.61,4.31,2.23,.41,4.62,4.87,1.73,1.68,.61,.25,.81,.91,.36,.36,.25,.05,.61,.3,.05,.25,1.42,.36,.56,.41,.1,.1,1.07,.56,1.17,4.125,4.22222222222222,4.22222222222222,4.25,4.4,1.10407157911385,-.987300775640269,-.421546168381279,.903640360571613,-.476807722234108
