subj,sex.s,age.s,ethn,wc,wps,qmarks,unique,dic,sixltr,pronou,i,we,self,you,other,negate,assent,articl,preps,number,affect,posemo,posfee,optim,negemo,anx,anger,sad,cogmec,cause,insigh,discre,inhib,tentat,certai,senses,see,hear,feel,socialw,comm,othref,friend,family,humans,time,past,presen,future,space,up,down,incl,excl,motion,occup,school,job,achiev,leisur,home,sports,telev,music,money,metaph,relig,death,physca,body,sexual,eating,sleep,groom,swear,nonfl,filler,ext.s,agr.s,con.s,ems.s,ope.s,zext.j,zagr.j,zcon.j,zems.j,zope.j
38,2,18,1,2332,7.75,6.31,23.93,82.33,8.7,15.61,6.78,.81,7.59,1.59,3.09,1.8,2.27,4.42,8.88,1.42,3.22,2.23,.34,.34,.99,.13,.34,.13,7.76,.69,1.93,3,.13,3.82,1.24,2.62,.86,1.16,.43,8.36,1.59,5.62,.13,.34,.47,3.82,3.52,14.41,.86,3.09,1.93,.47,4.37,6.39,1.72,2.1,1.54,.34,.17,.81,.43,.13,.09,.17,.04,.04,.04,0,.9,.47,.09,.26,.13,.17,.13,1.07,3.04,5,4.33333333333333,4.55555555555556,3.25,4.9,.491256894734916,1.15190656107944,.817919808943762,-.189933043885828,.218369802343379
39,2,18,1,1185,5.95,6.53,31.31,79.83,7.59,16.79,8.02,1.43,9.45,1.35,2.19,2.62,3.04,4.73,8.95,1.6,1.86,1.52,.25,.25,.34,.17,.25,0,6.84,1.43,1.94,2.45,.08,2.95,.84,2.53,.76,1.01,.34,7.51,1.35,5.06,.25,.08,.59,3.63,4.3,14.94,.84,3.63,2.03,.51,4.56,4.22,1.18,1.86,.93,.34,.68,.76,.68,0,.08,0,.17,.42,.34,.08,1.01,.51,.17,.42,.08,0,.08,.59,4.47,4.125,4.44444444444444,4.55555555555556,4,4.7,-2.05832517115248,.0927646526297725,-.30071446006809,-1.11123394989884,-.633783392608273
40,2,19,1,1100,9.82,6.25,30.55,84.73,9.09,20.73,7.27,1.73,9,5.09,3.64,3.45,2.91,2.73,9.45,.82,4.18,2.91,.36,.18,1.27,0,.45,.36,8.36,1.36,2,3.18,.73,1.82,.91,2.45,.73,1.45,.18,13.82,2.09,10.45,0,.27,.91,3.18,4.09,16.55,1.18,3,1.18,.27,4.82,5.27,1.45,2.18,.91,.64,.73,.55,.36,0,.09,.18,.36,.18,.18,0,.45,.27,.09,.09,.09,0,.18,.64,5,4.125,4.66666666666667,4.55555555555556,3.5,3.5,.70278021009337,-1.11707547701429,-.237849625023182,-2.85348315152856,-.16660095204676
43,2,18,1,1139,14.99,27.63,28.97,81.47,9.39,15.72,5.97,.26,6.23,3.07,.97,3.51,2.63,3.6,9.75,2.9,2.72,2.46,.18,.18,.26,.09,.09,0,8.08,1.32,2.11,2.37,.26,1.76,.7,1.84,.53,1.23,0,7.29,1.93,4.3,.26,0,.53,2.63,2.37,15.1,1.14,1.84,.97,.26,4.92,3.95,1.76,2.11,1.58,.44,.18,1.49,.26,0,0,1.23,.79,0,0,0,.97,.53,0,.44,.18,.26,0,2.37,5.27,3.875,4.22222222222222,3.44444444444444,2.75,3.9,-.967200716848129,1.48491209029686,1.05857622542252,-.672438497720817,.50176869370763
44,2,19,1,1670,5.53,9.27,29.52,81.38,6.89,18.62,7.66,.72,8.38,3.47,2.81,2.69,2.69,3.89,8.62,.96,4.25,3.17,.78,.12,1.08,0,.3,.12,7.72,.78,2.1,2.75,.3,2.51,.96,2.28,.72,1.14,.06,9.88,1.68,7.25,.12,0,.66,2.51,5.81,14.43,.9,2.51,.84,.18,5.45,4.73,1.98,1.32,.48,.12,.72,1.32,.48,.3,.18,.36,.12,.24,.18,.06,1.38,.36,.6,.42,0,.06,.12,.78,2.57,3.875,3.88888888888889,4.77777777777778,5,4.2,1.06239145000322,.757891226371929,1.12465203145686,1.26243643935367,1.14429301969225
46,2,19,4,1053,4.72,17.04,34.66,83.57,8.17,18.14,7.5,1.23,8.74,3.89,2.18,2.85,1.99,3.42,9.31,2.09,3.04,1.8,.38,0,1.23,.28,.19,.09,6.08,.47,1.99,1.61,.19,1.42,.95,3.7,1.52,1.61,.28,11.02,2.37,7.5,0,.09,.95,6.08,4.08,16.33,1.8,3.7,1.71,.47,5.51,3.8,1.8,2.28,1.8,.47,.09,.66,.28,.09,.09,.19,.09,.47,.47,0,1.04,.38,.19,.57,0,0,.09,0,2.75,4.875,4.55555555555556,3.77777777777778,2.625,4.6,.251421552797705,1.03393597994852,1.27543913296511,.633153962511279,.655944600559132
48,2,18,4,1323,5.68,18.88,32.35,79.82,9.75,17.31,6.58,1.36,7.94,4.01,1.89,3.78,1.51,2.95,8.01,2.49,4.54,3.17,.38,.38,1.36,.23,.6,.3,8.69,1.66,2.27,1.89,.6,2.65,.68,2.65,1.51,.83,.3,10.43,1.21,7.48,.08,0,1.21,2.57,3.4,17.38,1.06,2.34,.91,.08,4.31,3.93,2.27,.68,.23,.15,.38,.53,.45,.08,0,0,.15,.23,.15,.08,.83,.53,.08,.15,.38,0,.08,.45,2.42,4.875,3.66666666666667,2.77777777777778,4.125,4.6,.670187013935751,-.12992392865384,-.171927636658105,-.0138475287774836,-.130497602126266
49,2,19,1,1607,5.58,12.15,34.97,76.73,13.07,13.19,4.54,1.37,5.91,2.12,2.18,3.48,2.24,4.67,8.28,1.99,4.04,2.99,.37,.44,1.06,.12,.37,.19,7.59,1.37,2.3,1.74,.37,2.68,.62,3.8,.93,1.49,.75,9.21,1.62,5.91,.25,.12,.5,4.11,2.43,14.19,1.56,2.86,1.43,.37,5.72,4.29,1.62,1.49,.87,.06,.62,.87,.37,.12,.06,.31,.19,.31,.31,0,1.8,.87,.12,.44,.44,0,.12,.12,1.24,4.25,3.77777777777778,3.77777777777778,3.625,4,1.54547807685889,.38230383407403,.657415927335702,-.912174966596952,-.0837840361202283
53,2,18,5,402,5.15,15.38,49,82.09,10.2,18.41,9.7,.25,9.95,2.24,1.74,3.48,1.74,2.99,9.7,.75,3.23,1.99,.5,.25,1.24,0,.75,0,6.47,.25,1.74,2.49,0,3.98,1,2.99,1.49,1.49,0,7.21,1.74,4.48,0,.5,.25,3.73,3.98,17.16,1.99,3.98,1.24,.5,3.98,3.98,1.99,1,.75,.25,.25,1,1,0,0,0,.25,1,.75,.25,1.24,.75,.25,0,.5,.25,1,0,4.73,3.625,4.33333333333333,4.22222222222222,1.125,3.9,.634207311016846,-.0829720752141769,-.778868607594508,-1.25281544602297,.687305167419275
54,2,20,1,881,5.76,15.69,38.59,83.54,10.78,15.32,5.68,.68,6.36,2.84,3.18,2.38,2.5,4.65,12.15,1.25,4.31,2.95,.45,.45,1.36,.57,.45,.11,9.31,1.59,2.61,2.72,.11,3.18,1.14,2.04,1.02,.79,.23,9.42,1.36,6.81,.11,.68,.11,3.41,4.2,15.1,.45,3.06,1.14,.11,5.56,5.45,2.27,3.18,1.48,.79,.91,.57,.45,0,.23,0,.57,.11,0,.11,.45,0,0,.23,.11,.11,0,.68,.91,2.75,4.33333333333333,4.66666666666667,2.625,4.5,-.252077694493934,2.24078553834387,1.86762661302387,-.245694364818888,3.23333299500141
55,2,18,1,136,3.49,12.82,55.15,85.29,5.88,22.06,7.35,0,7.35,5.88,4.41,1.47,8.09,.74,5.15,.74,1.47,.74,0,0,.74,.74,0,0,3.68,0,1.47,.74,0,2.94,1.47,5.15,0,5.15,0,15.44,5.15,10.29,0,0,0,2.94,9.56,12.5,2.21,1.47,.74,0,3.68,1.47,3.68,1.47,1.47,0,0,.74,.74,0,0,0,0,0,0,0,1.47,1.47,0,0,0,0,0,1.47,5.15,1.625,4.55555555555556,3,3.25,3.6,-2.39543338344422,.234468639111864,.604016614600756,.445354899186243,-.906449604310716
56,2,18,1,168,4.54,27.03,59.52,81.55,7.14,17.86,4.17,2.38,6.55,4.76,4.17,1.19,2.98,3.57,13.1,.6,2.38,.6,0,0,1.79,.6,.6,0,7.74,1.19,1.79,.6,1.19,2.98,.6,2.38,1.19,1.19,0,14.29,1.79,11.31,0,0,1.19,4.17,6.55,13.1,1.19,2.98,.6,1.79,3.57,2.98,3.57,1.79,1.19,.6,0,1.79,0,.6,1.19,0,.6,1.19,.6,.6,0,0,0,0,0,0,.6,0,1.19,3.875,3.66666666666667,3.55555555555556,2.75,2.9,-1.61731744193939,.0926448061249936,-.490621048495766,-.41189437044629,.0814019841729136
58,2,18,2,427,9.49,0,43.09,87.12,7.26,19.44,11.01,.7,11.71,2.34,2.81,4.22,3.75,1.64,7.96,1.41,3.75,2.34,.23,0,1.41,0,.47,0,8.43,1.41,1.87,3.75,.23,2.11,1.41,2.11,.47,1.41,.23,10.3,2.34,6.32,.47,.23,.7,2.81,7.03,13.82,.94,2.34,.94,.7,6.32,5.15,3.04,.94,.94,0,0,.47,0,.23,.23,0,.94,.23,.23,0,.47,.23,.23,0,0,.23,.23,.23,4.45,4.875,4.11111111111111,4.11111111111111,4,3.7,-.847263754629349,-.740344958380639,-.721609439432595,-.673799064654611,.120887745546938
62,2,19,1,1679,8.88,16.93,25.61,84.57,8.4,18.7,7.44,.66,8.1,2.5,5.18,3.04,1.49,3.57,8.16,1.07,2.62,1.13,.36,0,1.43,.06,.36,.12,7.98,1.55,2.2,2.2,.06,3.39,1.01,2.56,1.07,1.37,.12,11.14,1.91,8.46,0,.42,.24,3.51,6.73,12.27,.6,2.5,1.43,.24,5.96,3.57,1.67,1.13,.83,.24,.06,.89,.48,.36,.06,0,.06,.3,.18,.12,.71,.18,.12,.12,.54,.12,.48,.71,4.59,3.75,4.88888888888889,3.66666666666667,4,2.9,1.28580393322761,-.178157214361618,-.30517965096717,-.168518503985077,-.872875005191064
67,2,18,5,627,6.53,4.17,35.25,82.78,6.06,21.69,10.21,1.28,11.48,4.31,1.28,3.67,2.39,1.91,7.81,.48,4.31,3.03,.32,0,1.28,.16,.32,0,8.13,1.59,3.35,1.59,.16,3.83,.64,2.55,.32,1.59,.16,9.57,2.23,7.02,0,0,.32,2.87,6.38,17.54,1.44,2.23,.96,.48,2.55,4.31,1.59,.96,.48,0,.48,1.44,.48,.16,.16,.64,.16,.16,.16,0,1.28,.48,0,.96,.48,0,.16,.32,4.94,2.375,3.11111111111111,3,1.625,3.2,.0504906182721968,.651954541731775,.325201074939522,.441073952243694,.236940408990605
68,2,19,1,1020,7.13,21.68,28.92,87.35,9.02,19.71,7.35,1.37,8.73,3.14,4.41,4.02,.88,5,8.63,1.47,2.16,1.47,.2,.29,.69,.1,.2,.29,7.35,1.18,1.57,2.75,.1,2.55,.39,2.35,.29,1.67,.29,12.55,2.16,9.02,.1,.29,.59,1.96,3.73,16.76,1.67,2.84,.69,.1,5.1,3.92,4.51,2.16,1.67,.29,.2,.88,.88,0,0,0,.39,0,0,0,.78,.39,0,.2,0,.2,.1,.1,3.82,3.28571428571429,4,4.11111111111111,2.75,3.4,-.696334502574815,-.453731444808977,-.191348010194498,-.141085922449061,-.562259385183415
